basic word,probability,word form Word2Vec
sport,0.059059811268,sport
sport,0.0408382525694,sports
sport,0.0331681329918,racing
sport,0.0330604911086,sporting
sport,0.0325808091947,athletics
sport,0.0314822163746,boxing
sport,0.0312897296793,sportsman
sport,0.0311962814018,equestrianism
sport,0.0309144862305,racings
sport,0.0306960131272,pastime
sport,0.0305932749377,cycling
sport,0.0303004966193,Sport
sport,0.0302647732289,athlete
sport,0.029737997551,athletes
sport,0.0288186887681,motorcycling
sport,0.0286471351769,snowboarding
sport,0.0284497324671,sportsmen
sport,0.0284221953937,football
sport,0.0284204176727,tennis
sport,0.0279289464767,hockey
sport,0.027661711016,soccer
sport,0.027594727899,motocross
sport,0.0275438164353,Bobsledding
sport,0.0275185358354,rugby
sport,0.0273987825683,sportsmanship
sport,0.0272588988117,marathoning
sport,0.0272073132222,interscholastic
sport,0.0271825166552,Nascar
sport,0.0270721166644,leagues
sport,0.02684980474,luging
include,0.00888221233333,include
include,0.00701016256671,included
include,0.00593591378912,includes
include,0.00546825711841,consist
include,0.005449739029,involve
include,0.00522352323889,including
include,0.00519945364037,encompass
include,0.00447224247733,comprise
include,0.00445297049234,pertain
include,0.00443084995741,Include
include,0.00439020312704,entail
include,0.00437694960053,Included
include,0.00432094214788,Includes
include,0.00430974039264,feature
include,0.00415870715612,necessitate
include,0.00411026380669,incudes
include,0.00410709866295,require
include,0.00408390128561,precede
include,0.00403012798978,Including
include,0.00401741182563,featuring
include,0.00400315398739,features
game,0.00838002497741,game
game,0.00639982314763,games
game,0.00544800502258,play
game,0.00543507426657,match
game,0.00512895280352,matchup
game,0.00480285180398,ballgame
game,0.00475985434301,opener
game,0.00467675195847,matches
game,0.00460583509322,tournament
game,0.00451506755951,playing
game,0.0045031322839,league
game,0.00446360526842,Game
game,0.00445635069872,scrimmages
game,0.00443299512007,scrimmage
game,0.00438976589648,postseason
game,0.00438925142341,playoffs
game,0.00437539012049,season
game,0.00435903537142,players
game,0.00433036723401,matchups
game,0.00430216611827,doubleheader
game,0.00423926304511,played
game,0.00423342902045,player
game,0.00419183062653,scoreless
game,0.00418033465098,semifinal
game,0.00417602506496,scoring
game,0.00416534550323,playoff
game,0.00416199143854,team
game,0.0041300379161,ball
game,0.00412620134561,offensively
game,0.0041238222823,defensively
game,0.00407803792574,quarterfinal
game,0.004003241534,Trochil
game,0.00397308941652,overtimes
game,0.0039556807469,WIldcats
game,0.00393480837488,contest
game,0.003927001371,shotless
game,0.00392175399549,finale
game,0.00388594042661,warmups
game,0.00387740591786,football
game,0.00387372643647,scoreboard
game,0.00385963262169,tourney
game,0.0038590309879,preseason
game,0.00384546713033,score
game,0.00384133686065,halftime
game,0.00383761442326,offense
game,0.00381089204296,derby
game,0.00380330631245,Teamwise
game,0.00378690161453,predistrict
game,0.00378227060772,Playoffs
physical,0.00787828344089,physical
physical,0.00509874887895,Physical
physical,0.00460491172878,mental
physical,0.00459281951534,physically
physical,0.00413071391856,psychological
physical,0.00396412584597,nonphysical
physical,0.00386459060194,physicality
physical,0.00385709090325,psychical
physical,0.00373357479625,bodily
physical,0.00369271174573,conditioning
physical,0.00355262807131,exertional
form,0.00737860134254,form
form,0.00478440655904,forms
participant,0.00687627488424,participant
participant,0.00442453676463,attendee
participant,0.00436185432364,participants
participant,0.00378380341625,participates
participant,0.00367411191105,Participant
participant,0.00352460147917,participate
participant,0.00348768926487,participator
participant,0.00345872337596,participating
participant,0.00333511575981,participation
participant,0.00331287154082,panelist
participant,0.00315008786014,participated
particular,0.00637428601215,particular
particular,0.00403140265229,specific
particular,0.00352291047738,specifically
particular,0.00323734218926,certain
particular,0.00322716253579,type
particular,0.00316181868171,Particular
particular,0.00311271371724,particularly
particular,0.00294945704499,singular
particular,0.00294929804134,clearly
particular,0.00294227395506,any
particular,0.00292313690562,peculiar
particular,0.00288831168533,regard
competition,0.00637394370341,competition
competition,0.00437349547936,Competition
competition,0.0042275904068,competitions
competition,0.00388408272975,competitors
competition,0.00381380955533,compete
competition,0.00376838710596,competing
competition,0.00363996503573,competitive
competition,0.00356770869663,entrants
competition,0.00347581978705,competitor
competition,0.00346841179317,contest
competition,0.00317795282146,Competitions
competition,0.00305399249184,competed
second,0.00587314782585,second
second,0.00524362358799,third
second,0.00515264330371,fourth
second,0.00487371105606,fifth
second,0.00468200637563,first
second,0.00463678228433,sixth
second,0.00445218641223,seventh
second,0.00433359040121,eighth
second,0.00419791147603,ninth
second,0.003961776656,fouth
second,0.00365973684302,eleventh
second,0.0035010931798,twelfth
second,0.00349481157953,tenth
second,0.00349080261351,2nd
second,0.00341976563995,thirteenth
second,0.00335988214756,fourteenth
second,0.00332087069336,final
second,0.00325571099281,3rd
second,0.0031957812916,4th
second,0.00316845261971,fifteenth
second,0.00313324674266,eigth
second,0.00294544600818,7th
second,0.00289620787489,5th
second,0.00289337653388,6th
second,0.00287442741313,1st
second,0.00286393065744,seventeenth
second,0.00284768772878,Second
second,0.00280767893401,9th
second,0.00279644091167,8th
second,0.00277726004664,last
second,0.00276900266885,fith
second,0.00273592887419,half
second,0.00266735917207,nineteenth
engagement,0.00587304235756,engagement
engagement,0.00332761623625,Engagement
engagement,0.0032743485644,engagements
engagement,0.00275395512243,interaction
manner,0.00537225263017,manner
manner,0.00256522048622,consummately
manner,0.00256133104077,unfailingly
manner,0.00255838637848,suitably
manner,0.00255430688767,transparently
manner,0.00255219621548,similarly
manner,0.00255026486157,appropriately
manner,0.00252027083767,equally
manner,0.00250826980185,deliberatively
manner,0.00249099440709,supremely
