probability,word
0.0229522828407,state
0.0104077878317,people
0.0098055074296,city
0.00711890595325,unite
0.0064198637327,war
0.00594724469415,universe
0.00531840583391,name
0.00510176347832,large
0.0045502846395,south
0.0045153916678,government
0.00434045123735,new
0.00398142751144,president
0.00390271475525,north
0.00381904066221,day
0.00363941813083,thursday
0.00357434764884,river
0.00330910285298,old_age
0.00329593299677,island
0.00309084177875,national
0.00308553306371,year
0.00300154294421,king
0.00285008984505,democracy
0.00283971264592,germany
0.00280288745264,party
0.00273152488413,france
0.0027116613663,capital
0.00268568191882,union
0.00266506926342,area
0.00265250537722,united_states
0.00255404562897,east
0.00255292339248,kingdom
0.00253667717043,get_down
0.00250093568985,century
0.00246434077829,populate
0.00235791670225,march
0.00234209853667,travel
0.00230480894821,american
0.00229679421214,town
0.00228454880846,know
0.00226727214793,include
0.00225929276023,land
0.00225734331264,england
0.0021687692434,mention
0.00216024606034,time
0.00214827382666,china
0.00214665433046,west
0.00211862816314,history
0.00206164356023,district
0.00206079753452,sea
0.00205059140738,lake
0.00204074977915,topographic_point
0.00198653838872,roman
0.0019798665171,county
0.00193529702381,language
0.00193194513332,empire
0.00193132284237,web_site
0.00193007011597,die
0.00191169503018,two
0.00189515324588,german
0.00188875333415,center
0.00188296725743,park
0.00188171788485,region
0.00186617649289,establish
0.0018454586246,celebrated
0.00180623456699,army
0.00180584944174,soviet
0.00178734503816,life
0.0017822558875,europe
0.00176148329591,old
0.00175935690537,london
0.00174862623441,important
0.00171942711734,end
0.00170700510358,member
0.00170382798655,great
0.00169469807069,british
0.00169163242343,later
0.00167762167773,million
0.00166176792336,soviet_union
0.00164024828445,power
0.00163257058794,population
0.00162629374361,group
0.00161262610016,bc
0.00161099298926,december
0.00161083138041,european
0.00160981053073,january
0.00160240236892,united_kingdom
0.00158907480602,take
0.0015742672224,building
0.00156809156521,second
0.00156400257474,english
0.00151558835914,french
0.00151449978623,like
0.0014978585802,northern
0.00144947343355,india
0.00144856529024,official
0.00144609104329,university
0.0014439152513,degree_centigrade
0.00142519081977,africa
0.00142259994467,high
0.00140458803126,international
0.00139948010664,battle
0.00137882296824,september
0.00134754226783,construct
0.00134624755199,political
0.00134574916107,york
0.00133325571608,italy
0.00132669185043,july
0.00131831203363,mountain
0.00131576395588,election
0.00129741254367,approach
0.00127525096492,washington
0.00127408980723,death
0.00126363183474,attack
0.00126212038095,australia
0.00125979126347,house
0.00125492691231,independence
0.00123165783406,church
0.00122053886052,japan
0.00121137680599,spanish
0.00120306814111,spain
0.00120277621176,military
0.00120177234948,school
0.00120130849051,february
0.00119499766006,born
0.00118829909363,western
0.00118562820699,uracil
0.00118014714907,bridge
0.00117464188418,keep
0.00116023608184,right
0.0011523494811,talk
0.00114898812152,communist
0.00114732576752,canada
0.00114269550599,saint
0.00113696322276,central
0.00113038053039,netherlands
0.00112860455457,today
0.0011273385656,april
0.00112679600891,calendar_month
0.00112397132403,korea
0.00112369629623,curate
0.00111751711287,ship
0.00111533950018,control
0.00111284450137,force
0.00111179662905,palace
0.00110257062159,work
0.00110227338213,seashore
0.00109691665684,small
0.00109167902172,come
0.00108883373739,home
0.00106878864551,run
0.00106730402039,kill
0.00106546196667,list
0.00106103474777,muslim
0.00106016087162,eastern
0.00105624117013,form
0.0010510030328,early
0.00104737704205,associate
0.00104208155918,queen
0.00103982092212,parts
0.00103670545394,ireland
0.0010315783449,reagan
0.00103070231761,idea
0.00102825548938,economy
0.00102641350555,head
0.00101220401964,november
0.00100531890664,age
0.00100102265466,pope
0.000999667063495,leader
0.000988967953678,poland
0.000963684422635,toilet
0.000963464320124,june
0.00096171664462,october
0.000960396299369,law
0.000950153793863,main
0.000937300104751,event
0.000936782150378,general
0.000935487924714,nitrogen
0.000933830760761,civil
0.000932666222492,sport
0.000932036968867,family
0.000931954401687,desire
0.00092324277432,southern
0.000922305352592,boundary_line
0.000915197808721,game
0.000914423779671,make
0.000906614247211,mugwump
0.00090248575835,left
0.000895663255294,elect
0.00089517482883,ocean
0.000891167713495,summer
0.000890044419665,days
0.000887088735098,different
0.000885276476769,bacillus
0.000879501217971,start
0.000879023768844,russian
0.000873330018593,asia
0.00087271852538,saddle_horse
0.000866721809947,divide
0.000864996369837,flag
0.000862948347417,light-emitting_diode
0.000857930770461,killing
0.000853888600785,popular
0.000853076030179,hanker
0.000851022040712,parliament
0.000847452932716,change
0.000846492678096,modern
0.000844728738798,trade
0.00084089589144,august
0.000839556444529,culture
0.000835587503736,semen
0.000834733707543,file
0.000830667609698,support
0.000830666988481,court
0.000819478130201,soldier
0.000819059746317,child
0.000817799434328,cathedral
0.000815430151632,climate
0.000809106102838,olympic
0.000804611141193,team
0.0008032102512,vote
0.000801091636289,scotland
0.000799960692478,map
0.000799889425111,tower
0.000796326617654,major
0.000790030986707,religion
0.000786621966564,george
0.000781987377884,times
0.000778942546184,normally
0.000778883930459,prime
0.00077725322969,plan
0.000771191041729,see
0.000766061446155,council
0.000765476353951,emperor
0.000762233226282,chinese
0.000759281875352,rome
0.000759009495048,ancient
0.000756526336441,austria
0.000755163724734,romania
0.00075444116166,local
0.000753761480014,thousand
0.000750168597836,page
0.000748805451754,socialist
0.000748560805746,rule
0.000743703829858,turn
0.000741428367552,give
0.000740933775675,try
0.000736196737444,use
0.00073610515754,doomed
0.000721486156099,airport
0.000719508354376,stay
0.000718714709747,office
0.000714700529136,manner
0.000713266350525,mexico
0.000707785669282,beginning
0.000702386055184,colony
0.00069953443253,get
0.000692809797945,football
0.000691940579753,winter
0.000691120667301,money
